Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_Difference,Mechanical_Power,Thermal_Load_Index,Torque_Speed_Interaction,Temperature_Ratio,Wear_Load_Index,Machine failure
M,302.2,311.3,1658,31.0,2,9.100000000000023,5382.385973640273,48979.71236012661,51398.0,1.0301125082726672,62.0,0
H,302.2,311.3,1749,29.2,5,9.100000000000023,5348.12166976512,48667.90719486271,51070.799999999996,1.0301125082726672,146.0,0
M,302.2,311.3,1510,37.1,10,9.100000000000023,5866.50540155846,53385.19915418212,56021.0,1.0301125082726672,371.0,0
L,302.3,311.5,1384,50.8,13,9.199999999999989,7362.552767148943,67735.48545777019,70307.2,1.0304333443599074,660.4,0
L,302.3,311.4,1570,37.2,15,9.099999999999966,6116.052578008611,55656.078459878154,58404.00000000001,1.0301025471386038,558.0,0
M,302.3,311.4,1571,32.7,17,9.099999999999966,5379.631844080626,48954.649781133514,51371.700000000004,1.0301025471386038,555.9000000000001,0
L,302.3,311.4,1476,37.3,20,9.099999999999966,5765.325174161844,52464.459084872586,55054.799999999996,1.0301025471386038,746.0,0
M,302.3,311.4,1484,39.5,22,9.099999999999966,6138.462605604216,55860.00971099816,58618.0,1.0301025471386038,869.0,0
M,302.3,311.4,1909,23.2,25,9.099999999999966,4637.912290543588,42205.00184394649,44288.799999999996,1.0301025471386038,580.0,0
L,302.3,311.5,1448,49.6,28,9.199999999999989,7521.056588498061,69193.72061418208,71820.8,1.0304333443599074,1388.8,0
M,302.3,311.4,1500,40.2,30,9.099999999999966,6314.601233715484,57462.87122681069,60300.00000000001,1.0301025471386038,1206.0,0
L,302.2,311.4,1510,44.9,33,9.199999999999989,7099.894677357813,65319.0310316918,67799.0,1.030443414956982,1481.7,0
L,302.2,311.3,1378,55.5,35,9.100000000000023,8008.86215179646,72880.64558134797,76479.0,1.0301125082726672,1942.5,0
M,302.2,311.4,1538,37.4,37,9.199999999999989,6023.6059781889735,55417.17499933849,57521.2,1.030443414956982,1383.8,0
L,302.2,311.4,1390,48.1,40,9.199999999999989,7001.4581075453325,64413.41458941698,66859.0,1.030443414956982,1924.0,0
M,302.2,311.4,1642,32.1,42,9.199999999999989,5519.589796798052,50780.22613054201,52708.200000000004,1.030443414956982,1348.2,0
L,302.4,311.5,1785,24.8,45,9.100000000000023,4635.734119637099,42185.180488697704,44268.0,1.0300925925925926,1116.0,0
H,302.3,311.5,1526,38.2,47,9.199999999999989,6104.449629141352,56160.93658810037,58293.200000000004,1.0304333443599074,1795.4,0
M,302.3,311.6,1668,33.2,52,9.300000000000011,5799.128711114472,53931.89701336466,55377.600000000006,1.0307641415812108,1726.4,0
L,302.3,311.5,1507,37.5,55,9.199999999999989,5917.9751611997735,54445.37148303785,56512.5,1.0304333443599074,2062.5,0
L,302.3,311.5,1530,37.8,57,9.199999999999989,6056.362317590403,55718.53332183164,57833.99999999999,1.0304333443599074,2154.6,0
M,302.3,311.4,1479,45.6,59,9.099999999999966,7062.551612682143,64269.21967540726,67442.40000000001,1.0301025471386038,2690.4,0
M,302.3,311.4,1418,41.3,62,9.099999999999966,6132.744906974683,55807.9786534694,58563.399999999994,1.0301025471386038,2560.6,0
L,302.3,311.4,1504,38.7,65,9.099999999999966,6095.1924027887735,55466.25086537763,58204.8,1.0301025471386038,2515.5,0
M,302.3,311.4,1345,47.6,67,9.099999999999966,6704.368162270857,61009.75027666457,64022.0,1.0301025471386038,3189.2000000000003,0
H,302.2,311.4,1625,35.4,70,9.199999999999989,6024.003913258429,55420.83600197748,57525.0,1.030443414956982,2478.0,0
L,302.3,311.4,1511,34.7,75,9.099999999999966,5490.634784507465,49964.776539017745,52431.700000000004,1.0301025471386038,2602.5,0
L,302.3,311.4,1535,41.8,77,9.099999999999966,6719.1336477427285,61144.1161944586,64162.99999999999,1.0301025471386038,3218.6,0
L,302.4,311.5,1505,37.9,79,9.100000000000023,5973.162472147833,54355.77849654541,57039.5,1.0300925925925926,2994.1,0
H,302.4,311.5,1540,43.7,81,9.100000000000023,7047.430080042863,64131.61372839021,67298.0,1.0300925925925926,3539.7000000000003,0
H,302.3,311.4,1372,46.0,86,9.099999999999966,6609.073185111967,60142.565984518675,63112.0,1.0301025471386038,3956.0,0
M,302.2,311.3,1510,36.6,91,9.100000000000023,5787.441986443117,52665.72207663249,55266.0,1.0301125082726672,3330.6,0
L,302.2,311.3,1382,46.4,94,9.100000000000023,6715.133353097159,61107.713513184295,64124.799999999996,1.0301125082726672,4361.599999999999,0
L,302.3,311.3,1439,41.8,96,9.0,6298.914214398558,56690.227929587025,60150.2,1.0297717499173007,4012.7999999999997,0
M,302.2,311.3,1375,47.0,98,9.100000000000023,6767.5141746080135,61584.37898893308,64625.0,1.0301125082726672,4606.0,0
M,302.2,311.3,1931,21.9,101,9.100000000000023,4428.48325227978,40299.197595746096,42288.899999999994,1.0301125082726672,2211.8999999999996,0
L,302.2,311.3,1475,48.6,104,9.100000000000023,7506.835645752811,68312.20437635075,71685.0,1.0301125082726672,5054.400000000001,0
L,302.2,311.3,1389,46.9,106,9.100000000000023,6821.874199490628,62079.05521536487,65144.1,1.0301125082726672,4971.4,0
L,302.3,311.3,1652,32.8,108,9.0,5674.302763011836,51068.724867106524,54185.6,1.0297717499173007,3542.3999999999996,0
L,302.3,311.2,1386,50.3,110,8.899999999999977,7300.621503971177,64975.53138534331,69715.8,1.0294409526959973,5533.0,0
M,302.2,311.3,1577,29.8,112,9.100000000000023,4921.263003946363,44783.49333591201,46994.6,1.0301125082726672,3337.6,0
M,302.3,311.3,1444,43.1,115,9.0,6517.380567529193,58656.42510776274,62236.4,1.0297717499173007,4956.5,0
L,302.2,311.3,1554,40.2,118,9.100000000000023,6541.926878129242,59531.534590976255,62470.8,1.0301125082726672,4743.6,0
L,302.2,311.3,1602,32.8,120,9.100000000000023,5502.562364615594,50073.317518002026,52545.6,1.0301125082726672,3935.9999999999995,0
H,302.2,311.2,1692,28.2,122,9.0,4996.640283681494,44969.76255313345,47714.4,1.029781601588352,3440.4,0
L,302.3,311.3,1682,34.4,127,9.0,6059.16880702761,54532.51926324848,57860.799999999996,1.0297717499173007,4368.8,0
L,302.3,311.3,1614,34.1,129,9.0,5763.5030504227625,51871.52745380486,55037.4,1.0297717499173007,4398.900000000001,0
L,302.3,311.3,1324,47.8,131,9.0,6627.420086208932,59646.78077588039,63287.2,1.0297717499173007,6261.799999999999,0
L,302.3,311.4,1434,40.3,133,9.099999999999966,6051.775592316161,55071.15789007686,57790.2,1.0301025471386038,5359.9,0
L,302.3,311.3,1621,31.6,135,9.0,5364.122848347405,48277.105635126645,51223.600000000006,1.0297717499173007,4266.0,0
M,302.3,311.3,1625,33.1,137,9.0,5632.6138284987,50693.5244564883,53787.5,1.0297717499173007,4534.7,0
L,302.2,311.1,1394,53.7,140,8.900000000000034,7839.0904847964675,69767.90531468883,74857.8,1.0294506949040372,7518.0,0
L,302.1,311.0,1586,35.1,142,8.899999999999977,5829.602159854292,51883.459222703066,55668.600000000006,1.0294604435617345,4984.2,0
L,302.0,311.0,1420,45.9,144,9.0,6825.424199189185,61428.81779270266,65178.0,1.0298013245033113,6609.599999999999,0
L,302.1,311.2,1422,50.3,146,9.099999999999966,7490.248036541856,68161.25713253063,71526.59999999999,1.030122476001324,7343.799999999999,0
H,302.1,311.2,1598,37.9,148,9.099999999999966,6342.268193018098,57714.640556464474,60564.2,1.030122476001324,5609.2,0
L,302.1,311.2,1454,59.2,153,9.099999999999966,9013.941417483931,82026.86689910346,86076.8,1.030122476001324,9057.6,1
L,302.1,311.2,1519,39.3,155,9.099999999999966,6251.423805451793,56887.9566296111,59696.7,1.030122476001324,6091.5,0
L,302.0,311.1,1373,55.7,157,9.100000000000023,8008.558464506613,72877.88202701036,76476.1,1.030132450331126,8744.9,0
M,302.0,311.1,1406,48.8,159,9.100000000000023,7185.115614074192,65384.55208807531,68612.8,1.030132450331126,7759.2,0
L,302.1,311.2,1492,45.0,162,9.099999999999966,7030.884358733957,63981.04766447877,67140.0,1.030122476001324,7290.0,0
L,302.1,311.2,1369,50.8,164,9.099999999999966,7282.756313747762,66273.08245510439,69545.2,1.030122476001324,8331.199999999999,0
M,302.2,311.2,1471,41.9,166,9.0,6454.391634824718,58089.524713422456,61634.9,1.029781601588352,6955.4,0
L,302.2,311.2,1630,36.0,169,9.0,6144.955230421635,55304.597073794714,58680.0,1.029781601588352,6084.0,0
M,302.1,311.1,1605,37.6,171,9.0,6319.627781961228,56876.65003765105,60348.0,1.0297914597815292,6429.6,0
L,302.2,311.1,1447,52.1,174,8.900000000000034,7894.686202789494,70262.70720482677,75388.7,1.0294506949040372,9065.4,0
M,302.2,311.2,1360,52.8,176,9.0,7519.716175632529,67677.44558069276,71808.0,1.029781601588352,9292.8,0
M,302.2,311.1,1728,34.0,179,8.900000000000034,6152.495052790251,54757.20596983344,58752.0,1.0294506949040372,6086.0,0
L,302.1,311.0,1740,30.8,182,8.899999999999977,5612.141116372806,49948.05593571785,53592.0,1.0294604435617345,5605.6,0
L,302.1,310.9,1477,41.4,184,8.799999999999955,6403.382642105931,56349.767250531906,61147.799999999996,1.0291294273419396,7617.599999999999,0
L,302.1,310.9,1658,30.3,186,8.799999999999955,5260.848225848396,46295.46438746565,50237.4,1.0291294273419396,5635.8,0
L,302.0,310.8,1902,23.4,188,8.800000000000011,4660.741197159673,41014.52253500518,44506.799999999996,1.0291390728476821,4399.2,0
M,302.0,310.8,1783,23.1,190,8.800000000000011,4313.123970039963,37955.49093635172,41187.3,1.0291390728476821,4389.0,0
M,302.0,310.9,1558,45.3,193,8.899999999999977,7390.8480449822755,65778.54760034208,70577.4,1.0294701986754966,8742.9,0
L,302.1,311.0,1351,49.5,196,8.899999999999977,7003.081263749687,62327.42324737206,66874.5,1.0294604435617345,9702.0,0
H,302.1,310.9,1452,42.5,198,8.799999999999955,6462.256088434205,56867.85357822071,61710.0,1.0291294273419396,8415.0,0
L,302.1,310.9,1666,30.7,203,8.799999999999955,5356.017539301142,47132.95434584981,51146.2,1.0291294273419396,6232.099999999999,0
L,302.1,311.0,1364,50.0,205,8.899999999999977,7141.887299160796,63562.79696253092,68200.0,1.0294604435617345,10250.0,0
M,302.1,311.0,1351,60.3,207,8.899999999999977,8531.026266749619,75926.13377407142,81465.3,1.0294604435617345,12482.099999999999,1
H,302.1,311.0,1729,26.1,210,8.899999999999977,4725.6779173093755,42058.53346405333,45126.9,1.0294604435617345,5481.0,0
M,302.1,311.0,1574,34.1,215,8.899999999999977,5620.665304439547,50023.92120951184,53673.4,1.0294604435617345,7331.5,0
L,302.0,311.0,1566,37.8,218,9.0,6198.864960357236,55789.78464321512,59194.799999999996,1.0298013245033113,8240.4,0
L,302.0,310.9,1455,43.2,220,8.899999999999977,6582.264927801336,58582.15785743174,62856.00000000001,1.0294701986754966,9504.0,0
H,302.0,310.9,1679,29.0,222,8.899999999999977,5098.9095965313545,45380.295409128936,48691.0,1.0294701986754966,6438.0,0
L,302.0,310.8,2143,17.3,227,8.800000000000011,3882.3697293307546,34164.85361811068,37073.9,1.0291390728476821,3927.1000000000004,0
L,302.0,310.8,1447,42.7,229,8.800000000000011,6470.309037602906,56938.71953090565,61786.9,1.0291390728476821,9778.300000000001,0
L,302.0,310.8,1383,50.3,231,8.800000000000011,7284.819292923619,64106.40977772793,69564.9,1.0291390728476821,11619.3,1
L,302.1,310.8,1772,27.1,233,8.699999999999989,5028.768304552205,43750.28424960413,48021.200000000004,1.0287984111221449,6314.3,0
L,302.0,310.8,1615,29.0,235,8.800000000000011,4904.549731029266,43160.0376330576,46835.0,1.0291390728476821,6815.0,1
L,302.0,310.8,1454,36.6,0,8.800000000000011,5572.808376349862,49040.713711878845,53216.4,1.0291390728476821,0.0,0
L,302.0,310.8,1445,49.1,2,8.800000000000011,7429.814265862301,65382.36553958833,70949.5,1.0291390728476821,98.2,0
M,302.0,310.8,1609,35.2,4,8.800000000000011,5930.991826761147,52192.72807549816,56636.8,1.0291390728476821,140.8,0
L,302.0,310.9,1546,34.4,7,8.899999999999977,5569.2479046757935,49566.30635161443,53182.399999999994,1.0294701986754966,240.79999999999998,0
L,301.9,310.8,1567,39.3,9,8.900000000000034,6448.96715150952,57395.807648434944,61583.1,1.029479960251739,353.7,0
L,302.0,310.8,1767,27.4,11,8.800000000000011,5070.090719922423,44616.79833531738,48415.799999999996,1.0291390728476821,301.4,0
L,302.0,310.9,1539,34.2,13,8.899999999999977,5511.798647017148,49055.007958452494,52633.8,1.0294701986754966,444.6,0
L,302.0,310.9,1564,39.0,15,8.899999999999977,6387.486183278767,56848.627031180884,60996.0,1.0294701986754966,585.0,0
M,302.0,310.8,1445,46.3,17,8.800000000000011,7006.118136648158,61653.83960250387,66903.5,1.0291390728476821,787.0999999999999,0
M,301.9,310.9,1419,47.7,20,9.0,7088.0927609558275,63792.83484860245,67686.3,1.0298111957601854,954.0,1
M,301.8,310.9,1881,20.9,23,9.099999999999966,4116.837261043672,37463.219075497276,39312.899999999994,1.0301524188204108,480.7,0
M,301.9,310.9,1421,46.2,26,9.0,6874.872867556687,61873.85580801019,65650.2,1.0298111957601854,1201.2,0
L,301.9,311.0,1455,46.0,29,9.100000000000023,7008.893210158829,63780.928212445506,66930.0,1.030142431268632,1334.0,0
L,301.9,311.0,2691,12.1,31,9.100000000000023,3409.7904184267536,31029.092807683537,32561.1,1.030142431268632,375.09999999999997,1
L,301.8,310.8,1505,41.2,33,9.0,6493.253135949624,58439.278223546615,62006.00000000001,1.0298210735586482,1359.6000000000001,0
L,301.8,310.8,1456,46.6,35,9.0,7105.193496966868,63946.74147270181,67849.6,1.0298210735586482,1631.0,0
L,301.8,310.8,1383,46.4,37,9.0,6719.99234973471,60479.93114761239,64171.2,1.0298210735586482,1716.8,0
M,301.9,310.8,1563,39.2,39,8.900000000000034,6416.1375082795075,57103.623823687834,61269.600000000006,1.029479960251739,1528.8000000000002,0
M,301.9,310.9,2305,16.1,42,9.0,3886.202472368134,34975.822251313206,37110.5,1.0298111957601854,676.2,0
M,301.9,310.9,1456,43.6,45,9.0,6647.777606604194,59829.998459437746,63481.6,1.0298111957601854,1962.0,0
L,302.0,311.0,1865,22.7,48,9.0,4433.363192868356,39900.2687358152,42335.5,1.0298013245033113,1089.6,0
L,301.9,310.9,1597,36.9,50,9.0,6171.061865372966,55539.5567883567,58929.299999999996,1.0298111957601854,1845.0,0
L,302.0,310.9,1495,38.6,52,8.899999999999977,6043.062908690206,53783.2598873427,57707.0,1.0294701986754966,2007.2,0
M,302.0,310.9,1456,47.2,54,8.899999999999977,7196.676675039402,64050.422407850514,68723.2,1.0294701986754966,2548.8,0
L,301.9,310.8,1465,44.3,57,8.900000000000034,6796.259747388359,60486.71175175662,64899.49999999999,1.029479960251739,2525.1,0
M,302.0,310.9,1352,55.5,59,8.899999999999977,7857.751545158791,69933.98875191306,75036.0,1.0294701986754966,3274.5,0
L,301.9,310.8,1906,21.7,62,8.900000000000034,4331.230015700152,38547.9471397315,41360.2,1.029479960251739,1345.3999999999999,0
L,302.0,310.9,1446,44.0,64,8.899999999999977,6662.689699733233,59297.93832762563,63624.0,1.0294701986754966,2816.0,0
L,302.0,310.8,1948,19.7,66,8.800000000000011,4018.683434570015,35364.414224216176,38375.6,1.0291390728476821,1300.2,0
L,301.9,310.7,1480,47.1,68,8.800000000000011,7299.804689881244,64238.28127095503,69708.0,1.0291487247432924,3202.8,0
M,301.9,310.7,1511,37.6,70,8.800000000000011,5949.506279466302,52355.65525930352,56813.6,1.0291487247432924,2632.0,0
M,301.9,310.7,1472,47.0,73,8.800000000000011,7244.931538198542,63755.39753614725,69184.0,1.0291487247432924,3431.0,0
L,301.9,310.7,1429,51.0,76,8.800000000000011,7631.871033365684,67160.4650936181,72879.0,1.0291487247432924,3876.0,0
L,301.9,310.7,1405,48.8,78,8.800000000000011,7180.005290024352,63184.04655221438,68564.0,1.0291487247432924,3806.3999999999996,0
M,301.9,310.7,1405,47.9,80,8.800000000000011,7047.587159675543,62018.76700514486,67299.5,1.0291487247432924,3832.0,0
L,302.0,310.7,1348,58.1,83,8.699999999999989,8201.52555726561,71353.27234821071,78318.8,1.0288079470198674,4822.3,0
L,301.9,310.6,1331,68.6,85,8.700000000000045,9561.604792808726,83185.96169743636,91306.59999999999,1.028817489234846,5830.999999999999,1
L,301.9,310.6,1610,33.4,87,8.700000000000045,5631.200111804585,48991.44097270014,53774.0,1.028817489234846,2905.7999999999997,0
M,301.9,310.6,1412,46.5,89,8.700000000000045,6875.689681646621,59818.50023032591,65658.0,1.028817489234846,4138.5,0
L,302.0,310.7,1453,42.7,92,8.699999999999989,6497.138238864563,56525.10267812163,62043.100000000006,1.0288079470198674,3928.4,0
L,302.0,310.6,1583,38.9,94,8.600000000000023,6448.506384586993,55457.15490744828,61578.7,1.028476821192053,3656.6,0
M,302.0,310.6,1539,37.4,96,8.600000000000023,6027.522497030449,51836.693474462,57558.6,1.028476821192053,3590.3999999999996,0
L,302.0,310.5,1635,39.8,99,8.5,6814.4286249016195,57922.64331166376,65072.99999999999,1.0281456953642385,3940.2,0
H,302.1,310.7,1294,62.4,101,8.599999999999966,8455.65945899,72718.6713473137,80745.59999999999,1.0284673949023502,6302.4,1
L,302.0,310.5,1978,22.0,106,8.5,4556.984863787115,38734.371342190476,43516.0,1.0281456953642385,2332.0,0
L,302.0,310.4,1357,58.0,108,8.399999999999977,8242.073046447942,69233.41359016253,78706.0,1.0278145695364238,6264.0,1
L,302.0,310.4,1336,58.2,110,8.399999999999977,8142.505503280169,68397.04622755323,77755.2,1.0278145695364238,6402.0,1
L,302.0,310.4,1568,39.2,112,8.399999999999977,6436.66258028296,54067.96567437672,61465.600000000006,1.0278145695364238,4390.400000000001,0
M,302.0,310.4,1567,36.4,114,8.399999999999977,5973.089168319249,50173.94901388156,57038.799999999996,1.0278145695364238,4149.599999999999,0
L,302.0,310.4,1611,35.6,117,8.399999999999977,6005.84550772068,50449.10226485357,57351.600000000006,1.0278145695364238,4165.2,0
H,302.0,310.5,1841,23.6,119,8.5,4549.82203253693,38673.48727656391,43447.600000000006,1.0281456953642385,2808.4,0
L,302.0,310.5,1567,36.1,124,8.5,5923.860411437498,50352.81349721874,56568.700000000004,1.0281456953642385,4476.400000000001,0
L,301.9,310.4,1376,54.9,126,8.5,7910.7816291513855,67241.64384778678,75542.4,1.028155018217953,6917.4,1
L,301.9,310.5,1477,42.4,128,8.600000000000023,6558.053720417669,56399.2619955921,62624.799999999996,1.0284862537263995,5427.2,0
M,301.9,310.5,1590,40.3,130,8.600000000000023,6710.127748802438,57707.09863970112,64076.99999999999,1.0284862537263995,5239.0,0
L,302.0,310.5,2197,15.8,133,8.5,3635.0949715667016,30898.307258316963,34712.6,1.0281456953642385,2101.4,0
M,302.0,310.4,1595,32.9,135,8.399999999999977,5495.221509781706,46159.8606821662,52475.5,1.0278145695364238,4441.5,0
H,302.0,310.5,1812,24.4,138,8.5,4629.953589154493,39354.60550781319,44212.799999999996,1.0281456953642385,3367.2,0
M,302.0,310.5,1573,32.1,143,8.5,5287.646011183517,44944.99109505989,50493.3,1.0281456953642385,4590.3,0
L,302.0,310.5,1651,30.9,146,8.5,5342.37255520905,45410.166719276924,51015.899999999994,1.0281456953642385,4511.4,0
H,302.0,310.5,1459,43.2,148,8.5,6600.360501486011,56103.064262631095,63028.8,1.0281456953642385,6393.6,0
L,301.9,310.4,1370,51.7,153,8.5,7417.195535370382,63046.16205064824,70829.0,1.028155018217953,7910.1,1
L,301.9,310.4,1518,34.1,155,8.5,5420.692460063045,46075.88591053588,51763.8,1.028155018217953,5285.5,0
L,302.0,310.3,1648,29.6,157,8.300000000000011,5108.3134305410995,42399.00147349118,48780.8,1.0274834437086093,4647.2,0
L,302.0,310.4,1464,47.2,159,8.399999999999977,7236.218854572586,60784.23837840956,69100.8,1.0278145695364238,7504.8,0
L,302.0,310.4,1895,23.2,161,8.399999999999977,4603.899314080722,38672.754238277965,43964.0,1.0278145695364238,3735.2,0
L,301.9,310.4,1884,23.4,163,8.5,4616.6332363032725,39241.382508577815,44085.6,1.028155018217953,3814.2,0
L,302.0,310.4,1450,46.6,165,8.399999999999977,7075.913853435411,59437.67636885729,67570.0,1.0278145695364238,7689.0,0
L,302.0,310.4,1448,43.4,167,8.399999999999977,6580.924514935803,55279.7659254606,62843.2,1.0278145695364238,7247.8,0
L,302.1,310.5,1389,49.6,169,8.399999999999977,7214.604697115889,60602.67945577331,68894.40000000001,1.0278053624627606,8382.4,0
L,302.0,310.6,1583,35.2,171,8.600000000000023,5835.152306875634,50182.30983913058,55721.600000000006,1.028476821192053,6019.200000000001,0
L,301.9,310.5,1425,51.1,173,8.600000000000023,7625.430768425826,65578.70460846227,72817.5,1.0284862537263995,8840.300000000001,0
L,302.0,310.5,1809,27.1,175,8.5,5133.770803010689,43637.051825590854,49023.9,1.0281456953642385,4742.5,0
L,301.9,310.5,1892,21.8,177,8.600000000000023,4319.229131763439,37145.370533165675,41245.6,1.0284862537263995,3858.6,0
M,301.9,310.6,1475,47.8,179,8.700000000000045,7383.266334711612,64234.41711199136,70505.0,1.028817489234846,8556.199999999999,0
L,302.0,310.6,1361,46.7,182,8.600000000000023,6655.85149972392,57240.32289762586,63558.700000000004,1.028476821192053,8499.4,0
M,302.0,310.6,1563,41.0,184,8.600000000000023,6710.756067333157,57712.502179065305,64083.0,1.028476821192053,7544.0,0
H,301.9,310.5,1472,39.7,187,8.600000000000023,6119.654937584725,52629.032463228774,58438.4,1.0284862537263995,7423.900000000001,0
L,302.0,310.6,1325,55.3,192,8.600000000000023,7673.078257005271,65988.4730102455,73272.5,1.028476821192053,10617.599999999999,0
L,302.0,310.6,1358,53.1,194,8.600000000000023,7551.320597727642,64941.35714045789,72109.8,1.028476821192053,10301.4,0
H,302.0,310.6,1346,54.7,196,8.600000000000023,7710.117634391094,66307.01165576358,73626.2,1.028476821192053,10721.2,0
M,302.0,310.5,1381,58.4,201,8.5,8445.690138302607,71788.36617557216,80650.4,1.0281456953642385,11738.4,0
L,301.9,310.5,1340,55.7,204,8.600000000000023,7816.073082621166,67218.2285105422,74638.0,1.0284862537263995,11362.800000000001,1
L,302.0,310.6,1366,47.7,206,8.600000000000023,6823.350748037816,58680.81643312537,65158.200000000004,1.028476821192053,9826.2,0
L,302.1,310.7,1325,45.1,208,8.599999999999966,6257.790766563068,53817.00059244217,59757.5,1.0284673949023502,9380.800000000001,1
M,302.1,310.7,1376,46.3,210,8.599999999999966,6671.56993496738,57375.501440719236,63708.799999999996,1.0284673949023502,9723.0,1
M,302.1,310.7,1364,47.8,213,8.599999999999966,6827.644257997721,58717.74061878017,65199.2,1.0284673949023502,10181.4,1
L,302.2,310.6,1462,43.6,0,8.400000000000034,6675.172294543498,56071.447274165606,63743.200000000004,1.027796161482462,0.0,0
M,302.1,310.6,1517,38.9,2,8.5,6179.648885292778,52527.01552498861,59011.299999999996,1.0281363786825555,77.8,0
L,302.1,310.6,1385,53.6,5,8.5,7773.975741063062,66078.79379903602,74236.0,1.0281363786825555,268.0,0
L,302.1,310.6,1439,40.0,7,8.5,6027.669104687617,51235.187389844745,57560.0,1.0281363786825555,280.0,0
M,302.0,310.6,1623,34.3,9,8.600000000000023,5829.633575780827,50134.848751715246,55668.899999999994,1.028476821192053,308.7,0
H,302.0,310.6,1438,43.2,12,8.600000000000023,6505.358739641457,55946.08516091668,62121.600000000006,1.028476821192053,518.4000000000001,0
L,301.9,310.4,1708,24.8,17,8.5,4435.761275260596,37703.97083971507,42358.4,1.028155018217953,421.6,0
M,301.8,310.3,1666,32.7,19,8.5,5704.943763359849,48492.021988558714,54478.200000000004,1.0281643472498343,621.3000000000001,0
L,301.9,310.4,1286,62.8,22,8.5,8457.25119926782,71886.63519377646,80760.8,1.028155018217953,1381.6,1
L,301.9,310.3,1485,46.3,24,8.400000000000034,7200.059123129768,60480.49663429029,68755.5,1.0278237827095065,1111.1999999999998,0
M,301.8,310.3,1409,52.5,26,8.5,7746.382085589033,65844.24772750678,73972.5,1.0281643472498343,1365.0,0
L,301.8,310.3,1765,27.3,29,8.5,5045.869040563247,42889.8868447876,48184.5,1.0281643472498343,791.7,0
L,301.8,310.3,1688,28.8,31,8.5,5090.888063289188,43272.54853795809,48614.4,1.0281643472498343,892.8000000000001,0
M,301.7,310.3,1787,26.7,33,8.600000000000023,4996.4832040488145,42969.755554819916,47712.9,1.0285051375538616,881.1,0
L,301.7,310.1,1487,48.0,36,8.400000000000034,7474.477241420836,62785.608827935284,71376.0,1.0278422273781904,1728.0,0
L,301.7,310.1,1384,50.5,38,8.400000000000034,7319.0731248232605,61480.21424851564,69892.0,1.0278422273781904,1919.0,0
L,301.7,310.2,1311,57.4,40,8.5,7880.3081804115645,66982.6195334983,75251.4,1.028173682466026,2296.0,1
H,301.7,310.2,1620,30.8,42,8.5,5225.096901450544,44413.32366232962,49896.0,1.028173682466026,1293.6000000000001,0
L,301.7,310.2,1331,61.2,47,8.5,8530.178036733148,72506.51331223176,81457.2,1.028173682466026,2876.4,1
H,301.7,310.1,1462,38.3,49,8.400000000000034,5863.740800023301,49255.42272019593,55994.6,1.0278422273781904,1876.6999999999998,0
L,301.7,310.1,1424,50.2,54,8.400000000000034,7485.870750777855,62881.31430653424,71484.8,1.0278422273781904,2710.8,0
L,301.7,310.1,1500,39.6,56,8.400000000000034,6220.353454107791,52250.96901450565,59400.0,1.0278422273781904,2217.6,0
L,301.8,310.1,1738,28.0,58,8.300000000000011,5096.082163143123,42297.481954087976,48664.0,1.0275016567263089,1624.0,0
M,301.8,310.3,1465,46.5,60,8.5,7133.771518139023,60637.057904181696,68122.5,1.0281643472498343,2790.0,0
L,301.8,310.3,1482,41.4,63,8.5,6425.059631415701,54613.00686703346,61354.799999999996,1.0281643472498343,2608.2,0
L,301.9,310.3,1398,44.0,65,8.400000000000034,6441.5215769205115,54108.781246132516,61512.0,1.0278237827095065,2860.0,0
L,301.9,310.3,1972,21.3,67,8.400000000000034,4398.606706144141,36948.29633161093,42003.6,1.0278237827095065,1427.1000000000001,0
L,301.9,310.4,1603,37.6,69,8.5,6311.75285637623,53649.899279197954,60272.8,1.028155018217953,2594.4,0
L,301.9,310.4,1610,34.8,71,8.5,5867.238439844296,49871.52673867652,56027.99999999999,1.028155018217953,2470.7999999999997,0
M,301.9,310.4,1373,48.0,73,8.5,6901.450741406058,58662.3313019515,65904.0,1.028155018217953,3504.0,1
M,302.0,310.5,1425,44.7,76,8.5,6670.386601734529,56698.286114743496,63697.50000000001,1.0281456953642385,3397.2000000000003,0
M,302.0,310.4,1212,55.6,79,8.399999999999977,7056.771082199537,59276.87709047595,67387.2,1.0278145695364238,4392.400000000001,1
M,302.0,310.4,1828,26.3,82,8.399999999999977,5034.548835034811,42290.2102142923,48076.4,1.0278145695364238,2156.6,0
L,302.0,310.5,1370,44.4,85,8.5,6369.893264418665,54144.09274755866,60828.0,1.0281456953642385,3774.0,1
M,302.0,310.5,1823,25.1,87,8.5,4791.693250936808,40729.39263296287,45757.3,1.0281456953642385,2183.7000000000003,0
L,302.0,310.5,1263,60.6,90,8.5,8015.019673397496,68127.66722387871,76537.8,1.0281456953642385,5454.0,1
L,301.9,310.4,1889,21.5,92,8.5,4253.035774552302,36150.80408369457,40613.5,1.028155018217953,1978.0,0
M,302.0,310.5,1639,32.9,94,8.5,5646.813827292925,47997.917531989864,53923.1,1.0281456953642385,3092.6,0
M,302.0,310.4,1608,33.1,97,8.399999999999977,5573.6880222928685,46818.97938725997,53224.8,1.0278145695364238,3210.7000000000003,0
H,301.9,310.3,1653,32.4,100,8.400000000000034,5608.496868894642,47111.373698715186,53557.2,1.0278237827095065,3240.0,0
